"facility_name","facility_id","address","city","state","zip","inspection_date","deficiency_tag","scope_severity","complaint","standard","infctrl","IDR","IIDR","eventid","inspection_text","cms_region","source_file"
"Demo Care Center Region 3-5-2","103041","103041 Demo Avenue","WV Demo City 2","WV","72145","2023-05-19","684","L","1","1","0","1","0","DEMO30049","This is a bundled demo citation for F-684 in CMS Region 3. Surveyors documented concerns related to quality of care planning, monitoring, and follow-through at Demo Care Center Region 3-5-2 in WV Demo City 2, WV. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-6-1","103050","103050 Demo Avenue","WV Demo City 3","WV","72155","2023-04-21","686","L","1","1","0","0","0","DEMO30050","This is a bundled demo citation for F-686 in CMS Region 3. Surveyors documented concerns related to pressure ulcer prevention, treatment, and skin integrity monitoring at Demo Care Center Region 3-6-1 in WV Demo City 3, WV. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-6-2","103051","103051 Demo Avenue","DE Demo City 3","DE","72156","2023-05-28","686","J","0","1","0","0","1","DEMO30051","This is a bundled demo citation for F-686 in CMS Region 3. Surveyors documented concerns related to pressure ulcer prevention, treatment, and skin integrity monitoring at Demo Care Center Region 3-6-2 in DE Demo City 3, DE. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-7-1","103060","103060 Demo Avenue","DE Demo City 1","DE","72166","2023-04-30","689","J","0","1","1","0","0","DEMO30052","This is a bundled demo citation for F-689 in CMS Region 3. Surveyors documented concerns related to accident hazards, supervision, and assistive device safety at Demo Care Center Region 3-7-1 in DE Demo City 1, DE. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-7-2","103061","103061 Demo Avenue","DC Demo City 1","DC","72167","2023-06-06","689","K","1","1","0","0","0","DEMO30053","This is a bundled demo citation for F-689 in CMS Region 3. Surveyors documented concerns related to accident hazards, supervision, and assistive device safety at Demo Care Center Region 3-7-2 in DC Demo City 1, DC. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-8-1","103070","103070 Demo Avenue","DC Demo City 2","DC","72177","2023-05-09","760","K","1","1","0","0","0","DEMO30054","This is a bundled demo citation for F-760 in CMS Region 3. Surveyors documented concerns related to medication regimen review and unnecessary drug monitoring at Demo Care Center Region 3-8-1 in DC Demo City 2, DC. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-8-2","103071","103071 Demo Avenue","MD Demo City 2","MD","72178","2023-06-15","760","L","0","1","0","0","0","DEMO30055","Not Available","3","demo_reg3.xlsx"
"Demo Care Center Region 3-9-1","103080","103080 Demo Avenue","MD Demo City 3","MD","72188","2023-05-18","835","L","0","1","0","1","0","DEMO30056","This is a bundled demo citation for F-835 in CMS Region 3. Surveyors documented concerns related to administrative oversight, policy implementation, and accountability at Demo Care Center Region 3-9-1 in MD Demo City 3, MD. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-9-2","103081","103081 Demo Avenue","PA Demo City 3","PA","72189","2023-06-24","835","J","1","1","0","0","0","DEMO30057","This is a bundled demo citation for F-835 in CMS Region 3. Surveyors documented concerns related to administrative oversight, policy implementation, and accountability at Demo Care Center Region 3-9-2 in PA Demo City 3, PA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-10-1","103090","103090 Demo Avenue","PA Demo City 1","PA","72199","2023-05-27","880","J","1","1","1","0","0","DEMO30058","This is a bundled demo citation for F-880 in CMS Region 3. Surveyors documented concerns related to infection prevention, isolation practices, and hand hygiene at Demo Care Center Region 3-10-1 in PA Demo City 1, PA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 3-10-2","103091","103091 Demo Avenue","VA Demo City 1","VA","72200","2023-07-03","880","K","0","1","1","0","0","DEMO30059","This is a bundled demo citation for F-880 in CMS Region 3. Surveyors documented concerns related to infection prevention, isolation practices, and hand hygiene at Demo Care Center Region 3-10-2 in VA Demo City 1, VA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","3","demo_reg3.xlsx"
"Demo Care Center Region 4-1-1","104000","104000 Demo Avenue","AL Demo City 1","AL","72800","2023-03-24","580","K","0","1","0","0","0","DEMO40060","This is a bundled demo citation for F-580 in CMS Region 4. Surveyors documented concerns related to physician and family notification after a significant change in status at Demo Care Center Region 4-1-1 in AL Demo City 1, AL. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-1-2","104001","104001 Demo Avenue","FL Demo City 1","FL","72801","2023-04-30","580","L","1","1","0","0","0","DEMO40061","This is a bundled demo citation for F-580 in CMS Region 4. Surveyors documented concerns related to physician and family notification after a significant change in status at Demo Care Center Region 4-1-2 in FL Demo City 1, FL. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-2-1","104010","104010 Demo Avenue","FL Demo City 2","FL","72811","2023-04-02","600","L","1","1","0","0","0","DEMO40062","This is a bundled demo citation for F-600 in CMS Region 4. Surveyors documented concerns related to resident protection from abuse, neglect, and mistreatment at Demo Care Center Region 4-2-1 in FL Demo City 2, FL. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-2-2","104011","104011 Demo Avenue","GA Demo City 2","GA","72812","2023-05-09","600","J","0","1","0","1","0","DEMO40063","This is a bundled demo citation for F-600 in CMS Region 4. Surveyors documented concerns related to resident protection from abuse, neglect, and mistreatment at Demo Care Center Region 4-2-2 in GA Demo City 2, GA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-3-1","104020","104020 Demo Avenue","GA Demo City 3","GA","72822","2023-04-11","610","J","0","1","0","0","0","DEMO40064","This is a bundled demo citation for F-610 in CMS Region 4. Surveyors documented concerns related to investigation, prevention, and correction of abuse allegations at Demo Care Center Region 4-3-1 in GA Demo City 3, GA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-3-2","104021","104021 Demo Avenue","KY Demo City 3","KY","72823","2023-05-18","610","K","1","1","1","0","0","DEMO40065","This is a bundled demo citation for F-610 in CMS Region 4. Surveyors documented concerns related to investigation, prevention, and correction of abuse allegations at Demo Care Center Region 4-3-2 in KY Demo City 3, KY. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-4-1","104030","104030 Demo Avenue","KY Demo City 1","KY","72833","2023-04-20","678","K","1","1","0","0","0","DEMO40066","Not Available","4","demo_reg4.xlsx"
"Demo Care Center Region 4-4-2","104031","104031 Demo Avenue","MS Demo City 1","MS","72834","2023-05-27","678","L","0","1","0","0","0","DEMO40067","This is a bundled demo citation for F-678 in CMS Region 4. Surveyors documented concerns related to CPR readiness, emergency response, and staff preparedness at Demo Care Center Region 4-4-2 in MS Demo City 1, MS. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-5-1","104040","104040 Demo Avenue","MS Demo City 2","MS","72844","2023-04-29","684","L","0","1","0","0","1","DEMO40068","This is a bundled demo citation for F-684 in CMS Region 4. Surveyors documented concerns related to quality of care planning, monitoring, and follow-through at Demo Care Center Region 4-5-1 in MS Demo City 2, MS. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-5-2","104041","104041 Demo Avenue","NC Demo City 2","NC","72845","2023-06-05","684","J","1","1","0","0","0","DEMO40069","This is a bundled demo citation for F-684 in CMS Region 4. Surveyors documented concerns related to quality of care planning, monitoring, and follow-through at Demo Care Center Region 4-5-2 in NC Demo City 2, NC. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-6-1","104050","104050 Demo Avenue","NC Demo City 3","NC","72855","2023-05-08","686","J","1","1","0","1","0","DEMO40070","This is a bundled demo citation for F-686 in CMS Region 4. Surveyors documented concerns related to pressure ulcer prevention, treatment, and skin integrity monitoring at Demo Care Center Region 4-6-1 in NC Demo City 3, NC. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-6-2","104051","104051 Demo Avenue","SC Demo City 3","SC","72856","2023-06-14","686","K","0","1","0","0","0","DEMO40071","This is a bundled demo citation for F-686 in CMS Region 4. Surveyors documented concerns related to pressure ulcer prevention, treatment, and skin integrity monitoring at Demo Care Center Region 4-6-2 in SC Demo City 3, SC. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-7-1","104060","104060 Demo Avenue","SC Demo City 1","SC","72866","2023-05-17","689","K","0","1","0","0","0","DEMO40072","This is a bundled demo citation for F-689 in CMS Region 4. Surveyors documented concerns related to accident hazards, supervision, and assistive device safety at Demo Care Center Region 4-7-1 in SC Demo City 1, SC. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-7-2","104061","104061 Demo Avenue","TN Demo City 1","TN","72867","2023-06-23","689","L","1","1","0","0","0","DEMO40073","This is a bundled demo citation for F-689 in CMS Region 4. Surveyors documented concerns related to accident hazards, supervision, and assistive device safety at Demo Care Center Region 4-7-2 in TN Demo City 1, TN. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-8-1","104070","104070 Demo Avenue","TN Demo City 2","TN","72877","2023-05-26","760","L","1","1","0","0","0","DEMO40074","This is a bundled demo citation for F-760 in CMS Region 4. Surveyors documented concerns related to medication regimen review and unnecessary drug monitoring at Demo Care Center Region 4-8-1 in TN Demo City 2, TN. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-8-2","104071","104071 Demo Avenue","AL Demo City 2","AL","72878","2023-07-02","760","J","0","1","0","0","0","DEMO40075","This is a bundled demo citation for F-760 in CMS Region 4. Surveyors documented concerns related to medication regimen review and unnecessary drug monitoring at Demo Care Center Region 4-8-2 in AL Demo City 2, AL. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-9-1","104080","104080 Demo Avenue","AL Demo City 3","AL","72888","2023-06-04","835","J","0","1","0","0","0","DEMO40076","This is a bundled demo citation for F-835 in CMS Region 4. Surveyors documented concerns related to administrative oversight, policy implementation, and accountability at Demo Care Center Region 4-9-1 in AL Demo City 3, AL. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-9-2","104081","104081 Demo Avenue","FL Demo City 3","FL","72889","2023-07-11","835","K","1","1","0","1","0","DEMO40077","Not Available","4","demo_reg4.xlsx"
"Demo Care Center Region 4-10-1","104090","104090 Demo Avenue","FL Demo City 1","FL","72899","2023-06-13","880","K","1","1","1","0","0","DEMO40078","This is a bundled demo citation for F-880 in CMS Region 4. Surveyors documented concerns related to infection prevention, isolation practices, and hand hygiene at Demo Care Center Region 4-10-1 in FL Demo City 1, FL. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 4-10-2","104091","104091 Demo Avenue","GA Demo City 1","GA","72900","2023-07-20","880","L","0","1","1","0","0","DEMO40079","This is a bundled demo citation for F-880 in CMS Region 4. Surveyors documented concerns related to infection prevention, isolation practices, and hand hygiene at Demo Care Center Region 4-10-2 in GA Demo City 1, GA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","4","demo_reg4.xlsx"
"Demo Care Center Region 5-1-1","105000","105000 Demo Avenue","IL Demo City 1","IL","73500","2023-04-10","580","L","0","1","0","0","0","DEMO50080","This is a bundled demo citation for F-580 in CMS Region 5. Surveyors documented concerns related to physician and family notification after a significant change in status at Demo Care Center Region 5-1-1 in IL Demo City 1, IL. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-1-2","105001","105001 Demo Avenue","IN Demo City 1","IN","73501","2023-05-17","580","J","1","1","0","0","0","DEMO50081","This is a bundled demo citation for F-580 in CMS Region 5. Surveyors documented concerns related to physician and family notification after a significant change in status at Demo Care Center Region 5-1-2 in IN Demo City 1, IN. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-2-1","105010","105010 Demo Avenue","IN Demo City 2","IN","73511","2023-04-19","600","J","1","1","0","0","0","DEMO50082","This is a bundled demo citation for F-600 in CMS Region 5. Surveyors documented concerns related to resident protection from abuse, neglect, and mistreatment at Demo Care Center Region 5-2-1 in IN Demo City 2, IN. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-2-2","105011","105011 Demo Avenue","MI Demo City 2","MI","73512","2023-05-26","600","K","0","1","0","0","0","DEMO50083","This is a bundled demo citation for F-600 in CMS Region 5. Surveyors documented concerns related to resident protection from abuse, neglect, and mistreatment at Demo Care Center Region 5-2-2 in MI Demo City 2, MI. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-3-1","105020","105020 Demo Avenue","MI Demo City 3","MI","73522","2023-04-28","610","K","0","1","0","1","0","DEMO50084","This is a bundled demo citation for F-610 in CMS Region 5. Surveyors documented concerns related to investigation, prevention, and correction of abuse allegations at Demo Care Center Region 5-3-1 in MI Demo City 3, MI. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-3-2","105021","105021 Demo Avenue","MN Demo City 3","MN","73523","2023-06-04","610","L","1","1","0","0","1","DEMO50085","This is a bundled demo citation for F-610 in CMS Region 5. Surveyors documented concerns related to investigation, prevention, and correction of abuse allegations at Demo Care Center Region 5-3-2 in MN Demo City 3, MN. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-4-1","105030","105030 Demo Avenue","MN Demo City 1","MN","73533","2023-05-07","678","L","1","1","0","0","0","DEMO50086","This is a bundled demo citation for F-678 in CMS Region 5. Surveyors documented concerns related to CPR readiness, emergency response, and staff preparedness at Demo Care Center Region 5-4-1 in MN Demo City 1, MN. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-4-2","105031","105031 Demo Avenue","OH Demo City 1","OH","73534","2023-06-13","678","J","0","1","0","0","0","DEMO50087","This is a bundled demo citation for F-678 in CMS Region 5. Surveyors documented concerns related to CPR readiness, emergency response, and staff preparedness at Demo Care Center Region 5-4-2 in OH Demo City 1, OH. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-5-1","105040","105040 Demo Avenue","OH Demo City 2","OH","73544","2023-05-16","684","J","0","1","0","0","0","DEMO50088","Not Available","5","demo_reg5.xlsx"
"Demo Care Center Region 5-5-2","105041","105041 Demo Avenue","WI Demo City 2","WI","73545","2023-06-22","684","K","1","1","0","0","0","DEMO50089","This is a bundled demo citation for F-684 in CMS Region 5. Surveyors documented concerns related to quality of care planning, monitoring, and follow-through at Demo Care Center Region 5-5-2 in WI Demo City 2, WI. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-6-1","105050","105050 Demo Avenue","WI Demo City 3","WI","73555","2023-05-25","686","K","1","1","0","0","0","DEMO50090","This is a bundled demo citation for F-686 in CMS Region 5. Surveyors documented concerns related to pressure ulcer prevention, treatment, and skin integrity monitoring at Demo Care Center Region 5-6-1 in WI Demo City 3, WI. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-6-2","105051","105051 Demo Avenue","IL Demo City 3","IL","73556","2023-07-01","686","L","0","1","1","1","0","DEMO50091","This is a bundled demo citation for F-686 in CMS Region 5. Surveyors documented concerns related to pressure ulcer prevention, treatment, and skin integrity monitoring at Demo Care Center Region 5-6-2 in IL Demo City 3, IL. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-7-1","105060","105060 Demo Avenue","IL Demo City 1","IL","73566","2023-06-03","689","L","0","1","0","0","0","DEMO50092","This is a bundled demo citation for F-689 in CMS Region 5. Surveyors documented concerns related to accident hazards, supervision, and assistive device safety at Demo Care Center Region 5-7-1 in IL Demo City 1, IL. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-7-2","105061","105061 Demo Avenue","IN Demo City 1","IN","73567","2023-07-10","689","J","1","1","0","0","0","DEMO50093","This is a bundled demo citation for F-689 in CMS Region 5. Surveyors documented concerns related to accident hazards, supervision, and assistive device safety at Demo Care Center Region 5-7-2 in IN Demo City 1, IN. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-8-1","105070","105070 Demo Avenue","IN Demo City 2","IN","73577","2023-06-12","760","J","1","1","0","0","0","DEMO50094","This is a bundled demo citation for F-760 in CMS Region 5. Surveyors documented concerns related to medication regimen review and unnecessary drug monitoring at Demo Care Center Region 5-8-1 in IN Demo City 2, IN. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-8-2","105071","105071 Demo Avenue","MI Demo City 2","MI","73578","2023-07-19","760","K","0","1","0","0","0","DEMO50095","This is a bundled demo citation for F-760 in CMS Region 5. Surveyors documented concerns related to medication regimen review and unnecessary drug monitoring at Demo Care Center Region 5-8-2 in MI Demo City 2, MI. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-9-1","105080","105080 Demo Avenue","MI Demo City 3","MI","73588","2023-06-21","835","K","0","1","0","0","0","DEMO50096","This is a bundled demo citation for F-835 in CMS Region 5. Surveyors documented concerns related to administrative oversight, policy implementation, and accountability at Demo Care Center Region 5-9-1 in MI Demo City 3, MI. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
"Demo Care Center Region 5-9-2","105081","105081 Demo Avenue","MN Demo City 3","MN","73589","2023-07-28","835","L","1","1","0","0","0","DEMO50097","This is a bundled demo citation for F-835 in CMS Region 5. Surveyors documented concerns related to administrative oversight, policy implementation, and accountability at Demo Care Center Region 5-9-2 in MN Demo City 3, MN. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","5","demo_reg5.xlsx"
